Name,Story,Genres,Certificate
Dirk Gently's Holistic Detective Agency,"Centers on the titular holistic detective who investigates cases involving the supernatural. Based on the ""Dirk Gently's Holistic Detective Agency"" novel series, written by Douglas Adams and published by Simon and Schuster in 1987.","Action ,Adventure ,Comedy ,Fantasy ,Mystery ,Sci-Fi",TV-14
The Chosen,A charismatic fisherman drowning in debt. A troubled woman wrestling with real demons. A young tax collector ostracized by society. A religious leader questioning his faith tradition.,"Drama ,History",TV-PG
iCarly,"Carly hosts her own home-grown web show, iCarly. She lives with her twenty-something brother/guardian Spencer and produces her webcasts from a makeshift third-floor loft studio. Grappling with adolescence, she never aimed to gain fame as a rising star/underground celebrity to kids. As events unfold in the pilot, it all happens by accident when a teacher puts her in charge of the school talent show. She and her sassy best bud Sam turn the audition process into a show, which Carly's tech savvy smitten friend Freddie tapes - including their hilarious banter and great chemistry - and posts on the Web without telling the girls. The on-line audience clamors for more, and a pop phenomenon blooms, with Carly and sidekick Sam's regular webcasts ultimately featuring everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.","Comedy ,Family ,Romance",TV-GT
The Fosters,"Stef Foster and Lena Adams,have a family of adopted, biological, and foster children. Mariana and Jesus are adopted 15-year-old twins and Brandon is Stef's 16-year-old biological son from a previous marriage. Everything is going fine in the house until Callie and Jude arrive. 16-year-old Callie and her 12-year-old brother Jude have been in many different foster homes, but when they are placed with the Fosters, things begin to happen. In this series, the Fosters will deal with many different issue like break-ups, romances, and important life lessons.","Drama ,Romance",TV-14
Absentia,"She disappeared. No one heard from her for six years. No one knows what happened to her, not even her. An FBI Agent tracking a Boston serial killer vanishes, and is declared dead. Six years later, she is found in a cabin in the woods, with no memory of what happened during the time she went missing. She comes back to a husband who has remarried, and whose wife is raising her son. She will have to navigate in her new reality, and she will soon find herself implicated in a new series of murders.","Crime ,Drama ,Mystery ,Thriller",TV-MA
Damien,"To bring the end to all God's creation Satan's own Son must rule over all nations as prophesied before.Damien Thorn has to accept his destiny as a latter-day Antichrist.Despite his human nature and emotions, his diabolic origin would eventually prevail.","Drama ,Horror",TV-14
PEN15,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.,Comedy,TV-MA
Another Life,"Set in the future, an anomaly from space appears in Earth's orbit and plants a stalk-like object into the ground. Humans attempt to determine what it is, why it's been placed there, and what's going to happen next, but it's taking too long to crack the code so they send a team into space to the source of the object to investigate further.","Adventure ,Drama ,Mystery ,Sci-Fi ,Thriller",TV-MA
Workaholics,"A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9.",Comedy,TV-14
90210,"Annie and Dixon Wilson move from Kansas to the very wealthy area of Beverly Hills, and begin attending the famed West Beverly High School in the 90210 zip code. They quickly encounter queen bee Naomi, rebel Silver, troubled Adrianna and others as the drama unfolds in 90210.","Comedy ,Drama ,Romance",TV-14
City on a Hill,"In the early 1990s, Boston was rife with violent criminals emboldened by local law enforcement agencies in which corruption and racism was the norm - and then it all changed in what was called the ""Boston Miracle."" In this fictional account, assistant district attorney Decourcy Ward comes from Brooklyn and forms an unlikely alliance with a corrupt yet venerated FBI veteran, Jackie Rohr. Together, they take on a family of armored car robbers in a case that grows to involve, and ultimately subvert, the entire criminal justice system of Boston.","Crime ,Drama ,Thriller",TV-MA
My Name Is Earl,"Earl is a low-life who buys a winning lottery ticket, only to get hit by a car, losing the ticket in the process. He then realizes in the hospital that his bad luck is the result of karma in which fate punishes him for all the rotten things he's ever done in his life; therefore, he then decides to dedicate his life to making amends to all the people he has hurt in his life.",Comedy,TV-PG
Nashville,"Set against the backdrop of the Nashville music scene, the new drama revolves around a 40-year-old superstar Rayna Jaymes, whose star begins fading. She is forced to team up with Juliette Barnes on tour in order to maintain her label's support for her latest record, whose sales have been underwhelming.","Drama ,Music ,Romance",TV-PG
Truth Be Told,"True crime podcaster Poppy Parnell is called to investigate the case of convicted killer Warren Cave, a man she incriminated after he murdered the father of two identical twins. Soon, Parnell must decide where the lines between guilty and innocent lie when Cave confesses to the fact that he was framed for the crime.","Crime ,Drama ,Thriller",TV-MA
We Are Who We Are,Two American teenagers come of age while living on an American military base in Italy.,Drama,TV-MA
Wayne,"Wayne, a 16 year-old Dirty Harry with a heart of gold, sets out on a small two stroke road bike from Boston to Florida with his new friend Del to get back the shit-hot 79' Trans-Am that was stolen from his father before he died. An action comedy, it's John Wick via John Hughes.","Action ,Comedy",TV-MA
I Am Not Okay with This,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.","Comedy ,Sci-Fi",TV-MA
Unbreakable Kimmy Schmidt,"After being rescued from an underground bunker in which she lived the past fifteen years, Kimmy Schmidt decides to move to New York City to have a normal life. She makes friends with her new roommate Titus, and works as a babysitter for Jacqueline Voorhees, the wife of a billionaire with many issues. Even though many obstacles are thrown her way, Kimmy makes the best of her new life while having to adapt to the new world around her.",Comedy,TV-14
Happy Endings,"A raucous comedy about six dysfunctional thirty-something friends living in Chicago: shop owner Alex and her ex-fiance, Dave, who runs a food truck; crazy-in-love husband and wife duo Brad and Jane; Max, their perpetually unemployed friend, and singleton Penny, always in pursuit of the right guy.","Comedy ,Romance",TV-14
